condition,china,PrevClPr,Oppr,Hipr,Lopr,Clpr,difference,df type
share,300782,347.71,349,382.48,348,382.48,34.77,advancing
share,300792,38.3,45.96,55.15,45.96,55.15,16.85,advancing
share,603160,212.21,212.23,228,210,224.7,12.49,advancing
share,603444,261,261,274.83,260.1,272.44,11.44,advancing
share,300776,143.49,144.62,156.5,142,153.7,10.21,advancing
share,300751,155.44,154.99,166.1,152.8,165.18,9.74,advancing
share,600519,1167,1164,1183,1153,1174.75,7.75,advancing
share,603927,73.11,80.42,80.42,80.42,80.42,7.31,advancing
share,300725,75.52,76.19,82.74,75.53,82.5,6.98,advancing
share,000661,395.68,396.85,404.18,385.15,401.84,6.16,advancing
share,603180,60.65,60.98,66.72,60.98,66.18,5.53,advancing
share,002714,62.64,63.52,68.58,63.52,68,5.36,advancing
share,603501,98.98,99.5,105.56,99.5,104.17,5.19,advancing
share,002916,151.1,150.69,157.3,150.69,156.1,5,advancing
share,300659,48.31,48.34,53.14,47.5,53.14,4.83,advancing
share,300526,48.45,48.45,53.1,47.15,53,4.55,advancing
share,002821,114.22,115.12,118.9,114,118.49,4.27,advancing
share,300417,48.9,49.2,53.77,49.1,53.11,4.21,advancing
share,002962,40.38,44.42,44.42,44.42,44.42,4.04,advancing
share,300790,38.3,42.13,42.13,42.13,42.13,3.83,advancing
share,300624,68.46,69.9,74.46,68.88,72.22,3.76,advancing
share,300613,131.16,129.7,138.88,128.1,134.77,3.61,advancing
share,300573,73.99,74.14,78.65,72.51,77.5,3.51,advancing
share,002777,31.6,31.79,34.76,31.34,34.76,3.16,advancing
share,002961,30.45,33.5,33.5,33.5,33.5,3.05,advancing
share,300702,37.83,38.08,41.48,38.08,40.85,3.02,advancing
share,603236,184.5,182.02,190.68,177,187.5,3,advancing
share,603078,29.42,28.75,32.36,28.75,32.36,2.94,advancing
share,002957,35.03,35,38.38,35,37.94,2.91,advancing
share,300752,28.96,28.5,31.86,28.5,31.86,2.9,advancing
share,002942,28.7,29.56,31.57,28.08,31.57,2.87,advancing
share,600745,72.2,72,76.01,71.47,75,2.8,advancing
