Stkcd,Lstknm,Csrciccd1,Csrciccd2,Oppr,Clpr,upsdowns,DmcCNY
655,金岭矿业,采矿业,黑色,5.18,5.19,0.0019,3089815794
762,西藏矿业,采矿业,黑色,7.27,7.22,-0.0069,3760314913
923,河北宣工,采矿业,黑色,14.98,14.93,-0.0033,9745243388
600532,宏达矿业,采矿业,黑色,4.18,4.21,0.0072,29802353243
601969,海南矿业,采矿业,黑色,5.52,5.52,0,7.50E+11
601808,中海油服,采矿业,开采辅助活动,9.77,9.94,0.0174,31176967024
603505,金石资源,采矿业,开采辅助活动,21.38,21.27,-0.0051,12334752488
603727,博迈科,采矿业,开采辅助活动,17.58,17.48,-0.0057,8777025933
600871,石化油服,采矿业,开采辅助活动,2.22,2.26,0.018,8034618098
600968,海油发展,采矿业,开采辅助活动,3.26,3.22,-0.0123,6552026667
300191,潜能恒信,采矿业,开采辅助活动,24.3,24.8,0.0206,5533521796
600339,中油工程,采矿业,开采辅助活动,3.69,3.68,-0.0027,4696560000
601225,陕西煤业,采矿业,煤炭,9.15,9.15,0,1.29E+11
601898,中煤能源,采矿业,煤炭,4.36,4.36,0,56389894556
600348,阳泉煤业,采矿业,煤炭,5.15,5.14,-0.0019,46067179138
600395,盘江股份,采矿业,煤炭,5.08,5.06,-0.0039,37614256677
601101,昊华能源,采矿业,煤炭,5.58,5.59,0.0018,35638770000
601088,中国神华,采矿业,煤炭,18.83,18.88,0.0027,25904340000
968,蓝焰控股,采矿业,石油和天然气,10.01,9.95,-0.006,9626651467
300483,沃施股份,采矿业,石油和天然气,39.76,39.6,-0.004,15404854045
600028,中国石化,采矿业,石油和天然气,5.04,5.05,0.002,1.17E+11
600256,广汇能源,采矿业,石油和天然气,3.35,3.34,-0.003,10653620872
600759,洲际油气,采矿业,石油和天然气,3.16,3.13,-0.0095,29819520000
601857,中国石油,采矿业,石油和天然气,6.17,6.19,0.0032,13950000000
975,银泰资源,采矿业,有色金属,15.03,15.19,0.0106,30127436584
600311,荣华实业,采矿业,有色金属,4.3,4.49,0.0442,22976834820
601069,西部黄金,采矿业,有色金属,14.31,14.84,0.037,22270400000
601168,西部矿业,采矿业,有色金属,5.8,5.81,0.0017,17991847056
600497,驰宏锌锗,采矿业,有色金属,4.62,4.67,0.0108,13999928160
2155,湖南黄金,采矿业,有色金属,9.51,9.7,0.02,11659782898
688,国城矿业,采矿业,有色金属,10.26,10.25,-0.001,11657317969
600025,华能水电,电力、热力、燃气及水生产和供应业,电力、热力,4.79,4.83,0.0084,4.83E+11
600027,华电国际,电力、热力、燃气及水生产和供应业,电力、热力,4.1,4.14,0.0098,2.24E+11
600011,华能国际,电力、热力、燃气及水生产和供应业,电力、热力,6.8,6.79,-0.0015,2.06E+11
2608,江苏国信,电力、热力、燃气及水生产和供应业,电力、热力,7.64,7.61,-0.0039,91770902908
600021,上海电力,电力、热力、燃气及水生产和供应业,电力、热力,8.75,8.55,-0.0229,86940000000
531,穗恒运A,电力、热力、燃气及水生产和供应业,教育,6.81,6.96,0.022,4768176427
601139,深圳燃气,电力、热力、燃气及水生产和供应业,燃气,6.5,6.24,-0.04,46982600000
600917,重庆燃气,电力、热力、燃气及水生产和供应业,燃气,6.5,6.5,0,29733333337
600903,贵州燃气,电力、热力、燃气及水生产和供应业,燃气,11.29,11.37,0.0071,10114000000
600642,申能股份,电力、热力、燃气及水生产和供应业,燃气,5.66,5.67,0.0018,9476532023
2267,陕天然气,电力、热力、燃气及水生产和供应业,燃气,7.24,7.21,-0.0041,8018063958
601158,重庆水务,电力、热力、燃气及水生产和供应业,水,5.66,5.63,-0.0053,3.77E+11
601199,江南水务,电力、热力、燃气及水生产和供应业,水,3.76,3.74,-0.0053,1.32E+11
600008,首创股份,电力、热力、燃气及水生产和供应业,水,3.35,3.34,-0.003,74674450350
601368,绿城水务,电力、热力、燃气及水生产和供应业,水,5.92,5.9,-0.0034,42523865130
600461,洪城水业,电力、热力、燃气及水生产和供应业,水,5.86,5.86,0,17695760648
2,万科A,房地产业,房地产业,26.78,27.17,0.0146,2.64E+11
1979,招商蛇口,房地产业,房地产业,20.61,20.63,0.001,1.63E+11
600340,华夏幸福,房地产业,房地产业,27.89,27.39,-0.0179,91578688216
600007,中国国贸,房地产业,房地产业,16.46,16.3,-0.0097,69289249625
69,华侨城A,房地产业,房地产业,6.99,7.02,0.0043,57581595033
600890,中房股份,房地产业,房地产业,5.13,5.05,-0.0156,51071469015
628,高新发展,建筑业,房屋,9.51,9.54,0.0032,2971519200
600939,重庆建工,建筑业,房屋,4.7,4.67,-0.0064,3250763072
601886,江河集团,建筑业,建筑装饰及其他,7.54,7.5,-0.0053,39902721744
2081,金螳螂,建筑业,建筑装饰及其他,9.81,9.82,0.001,26282333326
2822,中装建设,建筑业,建筑装饰及其他,8.04,7.98,-0.0075,24797891528
