code,stock,sector,industry,Oppr,Clpr,change,Dampltd,DMC
998,隆平高科,农、林、牧、渔业,农业,12.83,13.33,3.90%,4.9104,17555214072
2041,登海种业,农、林、牧、渔业,农业,8.23,9.14,11.06%,10.9507,8043200000
2772,众兴菌业,农、林、牧、渔业,农业,7.55,7.78,3.05%,3.8411,2860614227
300087,荃银高科,农、林、牧、渔业,农业,7.87,8.43,7.12%,8.8608,3627682499
300189,神农科技,农、林、牧、渔业,农业,3.41,3.7,8.50%,10.8504,3788800000
300511,雪榕生物,农、林、牧、渔业,农业,7.96,7.97,0.13%,2.3839,3421042202
600108,亚盛集团,农、林、牧、渔业,农业,3.08,3.21,4.22%,5.178,6249597538
600313,农发种业,农、林、牧、渔业,农业,3.22,3.55,10.25%,11.1111,3841805254
600354,敦煌种业,农、林、牧、渔业,农业,5.45,5.91,8.44%,10.0559,3119310293
600359,新农开发,农、林、牧、渔业,农业,6.15,6.75,9.76%,10.9121,2575211535
600371,万向德农,农、林、牧、渔业,农业,14.01,15.66,11.78%,13.0618,3524439600
600506,香梨股份,农、林、牧、渔业,农业,11.24,11.42,1.60%,4.3594,1686812490
600540,新赛股份,农、林、牧、渔业,农业,4.16,4.35,4.57%,5.036,2048516412
600598,北大荒,农、林、牧、渔业,农业,9.79,10.16,3.78%,4.4625,18061227875
601118,海南橡胶,农、林、牧、渔业,农业,4.59,4.59,0.00%,1.3043,19642573588
592,平潭发展,农、林、牧、渔业,林业,2.9,2.89,-0.34%,2.439,5582846778
2200,*综合T云投,农、林、牧、渔业,林业,5.64,5.68,0.71%,3.3808,1045874815
2679,福建金森,农、林、牧、渔业,林业,15.09,15.07,-0.13%,2.2015,3552842920
600265,综合T景谷,农、林、牧、渔业,林业,27.4,27.25,-0.55%,1.9485,3537050000
735,罗牛山,农、林、牧、渔业,畜牧业,8.72,8.75,0.34%,2.2857,10075743808
2234,民和股份,农、林、牧、渔业,畜牧业,37.91,38.58,1.77%,5.1606,11652959063
2299,圣农发展,农、林、牧、渔业,畜牧业,28.42,28.27,-0.53%,2.894,35040114216
2321,华英农业,农、林、牧、渔业,畜牧业,6.12,6.15,0.49%,2.2989,3285890265
2458,益生股份,农、林、牧、渔业,畜牧业,26.2,26.28,0.31%,3.5496,15131030958
